Time,MotorTorque,MotorAccel,MotorVel,MotorPos
1.41,0.017575633,0.025069535,0.071357124,0.044138369
1.42,0.017660354,0.045689289,0.078584272,0.049709613
1.43,0.017743835,0.064855602,0.085346912,0.054962607
1.44,0.01782606,0.046811954,0.080337688,0.051901847
1.45,0.017907012,0.050788045,0.082286557,0.053771392
1.46,0.017986677,0.03963795,0.079446839,0.052265065
1.47,0.018065038,0.050937096,0.08370073,0.055784871
1.48,0.018142079,0.024490703,0.076012867,0.050870746
1.49,0.018217786,0.048543786,0.084288604,0.057254761
1.5,0.018292143,0.043273963,0.083285858,0.057087996
1.51,0.018365134,0.035276179,0.081414662,0.056317169
1.52,0.018436744,0.038207545,0.082993584,0.057995982
1.53,0.018506956,0.051213793,0.087752236,0.061933298
1.54,0.018575756,0.034712166,0.083173395,0.059278014
1.55,0.018643129,0.042353484,0.086222856,0.062026739
1.56,0.018709058,0.019532894,0.079632925,0.05796934
1.57,0.018773529,0.043403857,0.08780155,0.064357722
1.58,0.018836526,0.048797699,0.090120471,0.066619633
1.59,0.018898035,0.023816059,0.08282698,0.062094401
1.6,0.018958039,0.018579837,0.081770581,0.061989267
1.61,0.019016523,0.018100506,0.082211371,0.062952594
1.62,0.019073474,0.033627511,0.087706626,0.067499715
1.63,0.019128875,0.018131821,0.083384346,0.065114485
1.64,0.019182712,0.023742065,0.085728938,0.067453116
1.65,0.01923497,0.009627858,0.081828595,0.065385533
1.66,0.019285633,0.032982952,0.089769451,0.071700517
1.67,0.019334689,0.014045545,0.084328507,0.068562669
1.68,0.01938212,0.029347098,0.089707027,0.073084821
1.69,0.019427915,0.027170801,0.089550611,0.073702618
1.7,0.019472056,0.016846265,0.086809434,0.072502097
1.71,0.019514531,0.020452899,0.088465511,0.07442024
1.72,0.019555325,0.013149929,0.086663394,0.073902351
1.73,0.019594424,0.011613814,0.086676537,0.074677273
1.74,0.019631813,0.025692849,0.09161914,0.078947022
1.75,0.019667479,0.01353691,0.088256927,0.077353495
1.76,0.019701408,0.001043661,0.084779357,0.075687456
1.77,0.019733586,0.026585883,0.093320865,0.082529186
1.78,0.019763999,-0.000678063,0.085154702,0.077565745
1.79,0.019792634,0.012914071,0.08989937,0.081740515
1.8,0.019819477,-0.000883409,0.085973586,0.07979316
1.81,0.019844515,0.003311678,0.087728356,0.08187131
1.82,0.019867734,0.009266764,0.090030393,0.084345114
1.83,0.019889123,0.014640748,0.092139279,0.086690951
1.84,0.019908667,-0.000417187,0.087777537,0.084469904
1.85,0.019926353,0.005195374,0.089942795,0.086872614
1.86,0.01994217,-0.001545685,0.088191799,0.08651452
1.87,0.019956105,-0.000336082,0.088945238,0.087935659
1.88,0.019968145,-0.013602576,0.085111037,0.086121108
1.89,0.019978277,-0.004177508,0.088442539,0.089381648
1.9,0.019986491,0.010826422,0.093528108,0.093890643
1.91,0.019992774,-0.013610391,0.086131268,0.089581259
1.92,0.019997114,-0.019450827,0.084604876,0.089430847
1.93,0.019999499,0.008096124,0.093626171,0.096746631
1.94,0.019999919,0.002805777,0.092252979,0.096720176
1.95,0.019998361,-0.002204882,0.090957722,0.096756518
1.96,0.019994815,-0.025905131,0.0837417,0.09261385
1.97,0.01998927,0.003031458,0.093160223,0.100241097
1.98,0.019981716,-0.019717785,0.086223481,0.096310852
1.99,0.019972141,-0.027081992,0.084141058,0.095820468
2,0.019960535,-0.02324134,0.085590988,0.097835065
2.01,0.019946888,-0.013893303,0.088771577,0.10108056
2.02,0.01993119,-0.012178448,0.08952722,0.102618427
2.03,0.019913431,-0.017799417,0.087951851,0.102514997
2.04,0.019893602,-0.023850483,0.086229226,0.102314307
2.05,0.019871694,-0.004446394,0.092544863,0.107804303
2.06,0.019847697,-0.030163677,0.084580432,0.103203444
2.07,0.019821602,-0.023904958,0.086716185,0.10575107
2.08,0.0197934,-0.033461063,0.083839259,0.104760671
2.09,0.019763084,-0.02333796,0.087173777,0.108168798
